FMID,start,end,zip
1012157,2016-07-12,2016-09-13,59711
1005944,2016-05-07,2016-10-29,98221
1001105,2014-07-07,2014-09-08,58710
1007258,2014-05-03,2014-10-11,99645
1010883,2015-05-09,2015-10-17,46016
1008251,2014-05-03,2014-05-31,29621
1008727,2014-04-18,2014-10-26,40342
1004991,2016-04-09,2016-11-19,45230
1003516,2015-05-20,2015-09-02,60640
1006378,2016-06-11,2016-09-24,14709
1010280,2014-01-01,2014-12-31,75901
1010223,2014-01-01,2014-12-31,48104
1010380,2015-06-23,2015-09-22,11003
1001142,2016-04-02,2016-12-24,21401
1011248,2015-05-30,2015-11-28,93534
1012651,2016-10-02,2017-05-28,85086
1000434,2013-06-01,2013-10-01,67003
1004557,2015-06-06,2015-10-03,54409
1011109,2015-04-18,2015-10-17,27502
1011158,2016-05-18,2016-10-12,37821
1012562,2016-06-08,2016-08-31,56208
1000431,2016-06-18,2016-10-29,54911
1009687,2014-01-01,2014-12-31,95003
1000558,2013-05-25,2013-10-26,63650
1012474,2016-06-03,2016-10-28,20020
1012410,2016-05-04,2016-11-30,20010
1012375,2016-05-31,2016-10-25,20032
1012453,2016-06-02,2016-10-27,20002
1012422,2016-05-05,2016-11-17,20032
1012455,2016-05-06,2016-11-25,20019
1012477,2016-05-06,2016-11-25,20017
1012413,2016-06-01,2016-10-26,20032
1012419,2016-05-04,2016-11-30,20001
1012454,2016-05-05,2016-11-17,20019
1012374,2016-05-03,2016-11-29,20032
1012427,2016-06-02,2016-10-27,20032
1012377,2016-06-01,2016-10-26,20001
1002085,2014-01-01,2014-12-31,95521
1001628,2014-04-27,2014-11-09,20198
1010882,2015-01-01,2015-12-31,48103
1001018,2015-01-01,2015-12-31,72201
1012129,2016-01-02,2016-03-26,22201
1008236,2016-06-02,2016-10-27,12603
1002611,2014-07-05,2014-09-20,98223
1010945,2015-04-29,2015-10-21,22204
1011122,2015-05-09,2015-10-31,87105
1001991,2016-05-07,2016-10-15,63010
1008855,2014-06-15,2014-09-21,48065
1010575,2014-01-01,2014-12-31,19382
1008534,2013-06-06,2013-09-26,47201
1005081,2013-06-02,2013-09-29,80002
1003061,2015-05-02,2015-10-31,20147
1003219,2015-04-11,2015-10-31,28694
1008904,2016-01-01,2016-12-31,28801
1008905,2016-04-06,2016-10-26,28803
1005158,2015-06-06,2015-10-10,54846
1008897,2016-05-07,2016-11-05,23005
1004692,2015-06-17,2015-10-28,80120
1000086,2013-07-10,2013-11-20,11106
1003661,2013-05-12,2013-10-13,97103
1001245,2015-05-02,2015-05-30,72401
1000448,2013-06-07,2013-09-30,49011
1005086,2016-01-01,2016-12-31,45701
1010034,2014-06-17,2014-10-30,37303
1008974,2014-04-09,2014-10-29,30601
1008857,2016-04-02,2016-12-17,30606
1011861,2016-06-04,2016-08-27,35611
1010003,2014-01-01,2014-12-31,90039
1002377,2014-06-03,2014-10-30,13021
1003772,2014-04-29,2014-09-30,66402
1006410,2014-06-06,2014-09-26,48326
1011950,2016-06-05,2016-09-25,98001
1008999,2014-01-01,2014-12-31,32803
1000559,2013-04-06,2013-10-26,65605
1005604,2013-05-01,2013-10-31,65605
1010694,2014-11-01,2015-02-28,65605
1011929,2016-06-11,2016-10-15,60505
1011927,2016-07-07,2016-08-25,60607
1011928,2016-07-06,2016-09-28,60506
1012430,2016-05-02,2016-10-29,55912
1011490,2015-06-08,2016-08-29,44515
1011826,2016-10-01,2017-03-01,85321
1010695,2014-04-01,2014-10-31,65608
1000898,2013-06-19,2013-10-16,14414
1010696,2015-05-05,2015-10-27,64856
1010697,2014-05-01,2014-10-29,64831
1004633,2014-04-12,2014-11-15,98110
1003411,2016-06-08,2016-10-12,97814
1008721,2013-05-15,2013-10-31,42056
1011333,2015-01-01,2015-12-31,98107
1011939,2016-04-14,2016-10-27,22203
1003662,2014-06-12,2014-10-18,12020
1010688,2014-01-01,2014-12-31,78003
1008053,2013-05-10,2013-10-25,49056
1012134,2016-05-10,2016-10-25,92220
1008918,2013-07-17,2013-11-27,11217
1007268,2013-05-03,2013-10-29,40004
1003082,2014-06-12,2014-08-28,14012
1005428,2015-05-30,2015-10-31,54880
1003976,2014-05-02,2014-10-31,42142
1012205,2016-05-14,2016-10-29,12719
1008194,2014-05-17,2014-09-27,38134
1010197,2014-07-01,2014-09-30,82410
1000436,2016-01-01,2016-12-31,78602
1006462,2014-06-07,2014-09-27,24445
1001325,2013-06-21,2013-10-31,40360
1007420,2012-05-01,2012-10-31,48808
